PlantID,DeviceID,Timestamp,Temperature_C,Humidity_%,Vibration_mm_s,Pressure_bar,Energy_kWh,Status
Plant_01,Dev_001,2025-08-14T00:00:00Z,72.4,45.3,1.2,1.01,15.3,OK
Plant_01,Dev_002,2025-08-14T00:05:00Z,73.1,44.8,1.3,1.02,15.5,OK
Plant_01,Dev_003,2025-08-14T00:10:00Z,71.9,46.0,1.1,1.00,15.1,OK
Plant_01,Dev_001,2025-08-14T00:15:00Z,72.6,45.1,1.2,1.01,15.4,OK
Plant_01,Dev_002,2025-08-14T00:20:00Z,73.0,44.9,1.3,1.02,15.6,OK
Plant_01,Dev_003,2025-08-14T00:25:00Z,71.8,46.2,1.1,1.00,15.0,OK
Plant_01,Dev_001,2025-08-14T00:30:00Z,72.5,45.0,1.2,1.01,15.3,OK
Plant_01,Dev_002,2025-08-14T00:35:00Z,73.2,44.7,1.3,1.02,15.7,OK
Plant_01,Dev_003,2025-08-14T00:40:00Z,71.7,46.1,1.1,1.00,15.1,OK
Plant_01,Dev_001,2025-08-14T00:45:00Z,72.3,45.4,1.2,1.01,15.4,OK
Plant_01,Dev_002,2025-08-14T00:50:00Z,73.1,44.8,1.3,1.02,15.5,OK
Plant_01,Dev_003,2025-08-14T00:55:00Z,71.9,46.0,1.1,1.00,15.2,OK
Plant_01,Dev_001,2025-08-14T01:00:00Z,72.4,45.2,1.2,1.01,15.3,OK
Plant_01,Dev_002,2025-08-14T01:05:00Z,73.0,44.9,1.3,1.02,15.6,OK
Plant_01,Dev_003,2025-08-14T01:10:00Z,71.8,46.1,1.1,1.00,15.1,OK
Plant_01,Dev_001,2025-08-14T01:15:00Z,72.6,45.0,1.2,1.01,15.4,OK
Plant_01,Dev_002,2025-08-14T01:20:00Z,73.2,44.7,1.3,1.02,15.7,OK
Plant_01,Dev_003,2025-08-14T01:25:00Z,71.7,46.2,1.1,1.00,15.0,OK
Plant_01,Dev_001,2025-08-14T01:30:00Z,72.5,45.1,1.2,1.01,15.3,OK
Plant_01,Dev_002,2025-08-14T01:35:00Z,73.1,44.8,1.3,1.02,15.5,OK
Plant_01,Dev_003,2025-08-14T01:40:00Z,71.9,46.0,1.1,1.00,15.2,OK
Plant_01,Dev_001,2025-08-14T01:45:00Z,72.4,45.3,1.2,1.01,15.4,OK
Plant_01,Dev_002,2025-08-14T01:50:00Z,73.0,44.9,1.3,1.02,15.6,OK
Plant_01,Dev_003,2025-08-14T01:55:00Z,71.8,46.1,1.1,1.00,15.1,OK
Plant_01,Dev_001,2025-08-14T02:00:00Z,72.6,45.0,1.2,1.01,15.3,OK
Plant_01,Dev_002,2025-08-14T02:05:00Z,73.2,44.8,1.3,1.02,15.7,OK
Plant_01,Dev_003,2025-08-14T02:10:00Z,71.7,46.2,1.1,1.00,15.0,OK
Plant_01,Dev_001,2025-08-14T02:15:00Z,72.5,45.1,1.2,1.01,15.4,OK
Plant_01,Dev_002,2025-08-14T02:20:00Z,73.0,44.9,1.3,1.02,15.6,OK
Plant_01,Dev_003,2025-08-14T02:25:00Z,71.9,46.0,1.1,1.00,15.2,OK
